Handle,Social Network,Profile Name,Avatar URL,Followers,Posts,Value Per Fan,Total Value € Jan 2026,Category,URL
lia.lewis,instagram,Lia Lewis Gribius,https://cdn.horizm.com/clubs/b5a7640d504a8917d553fa2986f033f32e8806e3.jpg,1396448,6,0.0533,74474,Athlete,https://www.instagram.com/lia.lewis/
natarajan_jayaprakash,instagram,T Natarajan,https://cdn.horizm.com/clubs/8068_664dcd5e6dd67,1394908,1,0.0003,364,Athlete,https://www.instagram.com/natarajan_jayaprakash/
alphonseareola,instagram,Alphonse Areola,https://cdn.horizm.com/clubs/3612_64920910cafeb,1392206,5,0.0187,25973,Athlete,https://www.instagram.com/alphonseareola/
jurrientimber,instagram,Jurrien Timber,https://cdn.horizm.com/clubs/6194_650be45a113bd,1391521,2,0.0540,75089,Athlete,https://www.instagram.com/jurrientimber/
dgoficial,instagram,Douglas Luiz,https://cdn.horizm.com/clubs/2305_6491e5b1e32bc,1389264,2,0.0286,39721,Athlete,https://www.instagram.com/dgoficial
aarondonald99,instagram,Aaron Donald,https://cdn.horizm.com/clubs/3764_64920c327ffe0,1388182,14,0.1181,163946,Athlete,https://www.instagram.com/aarondonald99/
mr.choupo,instagram,Eric Maxim Choupo-Moting,https://cdn.horizm.com/clubs/f8382482a9f5f526e7b77b82515a419fc6d44079.jpg,1387677,2,0.0043,5978,Athlete,https://www.instagram.com/mr.choupo/
andreadovizioso,instagram,Andrea Dovizioso,https://cdn.horizm.com/clubs/1840_6491d94a67314,1386689,6,0.0035,4899,Athlete,https://www.instagram.com/andreadovizioso/
federicodimarco,instagram,Federico Dimarco,https://cdn.horizm.com/clubs/4909_64baaead6c3b8,1385806,5,0.0419,58113,Athlete,https://www.instagram.com/federicodimarco
89jorgemartin,instagram,Jorge Martin,https://cdn.horizm.com/clubs/1828_6491d8ed88aa0,1378779,10,0.0727,100209,Athlete,https://www.instagram.com/89jorgemartin/
fakharzaman719,instagram,Fakhar Zaman,https://cdn.horizm.com/clubs/6261_653123052d36b,1376679,1,0.0007,1032,Athlete,https://www.instagram.com/fakharzaman719/
dejan.k10,instagram,Dejan Kulusevski,https://cdn.horizm.com/clubs/61422af5ee0720a315ed3c032b24cbf7c5f4f70a.jpg,1376453,5,0.0190,26169,Athlete,https://www.instagram.com/dejan.k10/
philmickelson,instagram,Phil Mickelson,https://cdn.horizm.com/clubs/4963_64baaf32ed2c7,1374113,5,0.0340,46785,Athlete,https://www.instagram.com/philmickelson/
gmhikaru,instagram,Hikaru Nakamura,https://cdn.horizm.com/clubs/5888_650be1f5b7356,1371576,5,0.0139,19068,Athlete,https://www.instagram.com/gmhikaru/
mikelmerino,instagram,Mikel Merino,https://cdn.horizm.com/clubs/3438_649204345aafb,1369974,2,0.0247,33887,Athlete,https://www.instagram.com/mikelmerino/
ugartemanu,instagram,Manuel Ugarte,https://cdn.horizm.com/clubs/6299_6531241fc6066,1368275,1,0.0000,34,Athlete,https://www.instagram.com/ugartemanu/
leonedwardsmma,instagram,Leon Edwards,https://cdn.horizm.com/clubs/4777_64baacf43599b,1367046,2,0.0101,13814,Athlete,https://www.instagram.com/leonedwardsmma/
nicholaspooran,instagram,Nicholas Pooran,https://cdn.horizm.com/clubs/7696_65faecc0419a7,1366842,9,0.0211,28895,Athlete,https://www.instagram.com/nicholaspooran/
cediosman,instagram,Cedi Osman,https://cdn.horizm.com/clubs/3716_64920ab1d8c9f,1366606,1,0.0184,25148,Athlete,https://www.instagram.com/cediosman/
miguel_almiron,instagram,Miguel Almiron,https://cdn.horizm.com/clubs/2250_64a2769f0d785,1363772,5,0.0048,6587,Athlete,https://www.instagram.com/miguel_almiron/
onsjabeur,instagram,Ons Jabeur,https://cdn.horizm.com/clubs/1311_6491cc58597b4,1356928,3,0.0128,17383,Athlete,https://www.instagram.com/onsjabeur
hugocalderano,instagram,Hugo Calderano,https://cdn.horizm.com/clubs/4269_649bd8cf6d74c,1354721,6,0.0099,13422,Athlete,https://www.instagram.com/hugocalderano/
woutvanaert,instagram,Wout van Aert,https://cdn.horizm.com/clubs/5161_64d61136e7e38,1352748,2,0.0333,45042,Athlete,https://www.instagram.com/woutvanaert/
kyrieirving,tiktok,Kyrie Irving,https://cdn.horizm.com/clubs/3113_6491fb548d7eb,1352300,2,0.0224,30317,Athlete,https://www.tiktok.com/@kyrieirving
skybrown,instagram,Sky Brown,https://cdn.horizm.com/clubs/4808de0732bd1cfb051ef0d3a81d28855cdbc36d.jpg,1351142,6,0.1268,171274,Athlete,https://www.instagram.com/skybrown/
kyle_lowry7,instagram,Kyle Lowry,https://cdn.horizm.com/clubs/3714_64920aa09eaf7,1345911,3,0.0312,42029,Athlete,https://www.instagram.com/kyle_lowry7/
micahrichards,instagram,Micah Richards,https://cdn.horizm.com/clubs/2374_6491e7921ef3f,1344099,2,0.1960,263466,Athlete,https://www.instagram.com/micahrichards/
paulabadosa,instagram,Paula Badosa,https://cdn.horizm.com/clubs/1310_6491cc4faebef,1343071,8,0.1407,188985,Athlete,https://www.instagram.com/paulabadosa
aleixespargaro,instagram,Aleix Espargaro,https://cdn.horizm.com/clubs/1823_6491d8c396d74,1336724,17,0.0324,43266,Athlete,https://www.instagram.com/aleixespargaro/
iamgaelmonfils,instagram,Gael Monfils,https://cdn.horizm.com/clubs/1306_6491cc2cadfed,1335998,2,0.0220,29438,Athlete,https://www.instagram.com/iamgaelmonfils
matheusgonze1,instagram,Matheus Gonze,https://cdn.horizm.com/clubs/9165_686b930b8a28d,1333499,35,1.3274,1770073,Athlete,https://www.instagram.com/matheusgonze1/
sergej___21,instagram,Sergej Milinković-Savić,https://cdn.horizm.com/clubs/4901_64baae990a0a5,1330925,9,0.0988,131482,Athlete,https://www.instagram.com/sergej___21/
bkoepka,instagram,Brooks Koepka,https://cdn.horizm.com/clubs/4935_64baaeee2b045,1327244,3,0.0842,111780,Athlete,https://www.instagram.com/bkoepka/
aarongordon,instagram,Aaron Gordon,https://cdn.horizm.com/clubs/5987_650c039301955,1326384,4,0.0268,35483,Athlete,https://www.instagram.com/aarongordon/
jimmypolo10,instagram,Jimmy Garoppolo,https://cdn.horizm.com/clubs/6084_650be37690a87,1323324,1,0.0036,4817,Athlete,https://www.instagram.com/jimmypolo10
jordynhuitema,instagram,Jordyn Huitema,https://cdn.horizm.com/clubs/1902_6491dad36e703,1322571,2,0.0089,11781,Athlete,https://www.instagram.com/jordynhuitema/
robinsoncano,instagram,Robinson Cano,https://cdn.horizm.com/clubs/3726_64920b07db544,1318497,3,0.0048,6326,Athlete,https://www.instagram.com/robinsoncano/
rokisasaki,instagram,Roki Sasaki,https://cdn.horizm.com/clubs/e8fed2d1b887d88c0bcadae1dbabb81b1fbdb99b.jpg,1316053,1,0.0115,15117,Athlete,https://www.instagram.com/rokisasaki/
antoinedupont9,instagram,Antoine Dupont,https://cdn.horizm.com/clubs/4203_649bd718801cc,1309175,2,0.0169,22168,Athlete,https://www.instagram.com/antoinedupont9
sais_1509,instagram,Sai Sudharsan,https://cdn.horizm.com/clubs/8069_664dcd659b9af,1307885,4,0.0268,35015,Athlete,https://www.instagram.com/sais_1509/
asisat_oshoala,instagram,Asisat Oshoala,https://cdn.horizm.com/clubs/1903_6491dadb4137f,1306869,5,0.0305,39825,Athlete,https://www.instagram.com/asisat_oshoala/
aaronramsdale,instagram,Aaron Ramsdale,https://cdn.horizm.com/clubs/2243_6491e42361ee2,1305759,1,0.0085,11130,Athlete,https://www.instagram.com/aaronramsdale/
fikayotomori,instagram,Fikayo Tomori,https://cdn.horizm.com/clubs/4874_64baae59376bd,1305387,3,0.0070,9177,Athlete,https://www.instagram.com/fikayotomori/
medwed33,instagram,Daniil Medvedev,https://cdn.horizm.com/clubs/1295_6491cbca89a38,1305287,4,0.0166,21693,Athlete,https://www.instagram.com/medwed33
junior_maestro_5,instagram,Junior Maestro,https://cdn.horizm.com/clubs/f438262c5846c42880d38de242bdb396a192b6f4.jpg,1303757,8,0.0102,13297,Athlete,https://www.instagram.com/junior_maestro_5/
harshit_rana_06,instagram,Harshit Rana,https://cdn.horizm.com/clubs/8085_664dcff98ec61,1303221,4,0.1267,165123,Athlete,https://www.instagram.com/harshit_rana_06/
ennervalencia1,instagram,Enner Valencia,https://cdn.horizm.com/clubs/2815_6491f33fee871,1301440,5,0.0053,6863,Athlete,https://www.instagram.com/ennervalencia1/
robertharboleda4,instagram,Robert Arboleda,https://cdn.horizm.com/clubs/2816_64a277385b4c2,1300714,4,0.0138,17954,Athlete,https://www.instagram.com/robertharboleda4/
m.ramadhansn,instagram,Ramadhan SANANTA,https://cdn.horizm.com/clubs/3810_64a2758ccacf6,1297464,2,0.0033,4257,Athlete,https://www.instagram.com/m.ramadhansn
carlosalcaraz,tiktok,Carlos Alcaraz,https://cdn.horizm.com/clubs/1299_6491cbee4b5ac,1292454,4,0.0492,63649,Athlete,https://www.tiktok.com/@carlosalcaraz
axelwitsel28,instagram,Axel Witsel,https://cdn.horizm.com/clubs/2405_6491e84c4f433,1290700,4,0.0030,3922,Athlete,https://www.instagram.com/axelwitsel28/
hicham_boudaoui,instagram,Hicham Boudaoui,https://cdn.horizm.com/clubs/6320_65313698ef814,1290301,4,0.0183,23641,Athlete,https://www.instagram.com/hicham_boudaoui/
d.raya1,instagram,David Raya,https://cdn.horizm.com/clubs/2289_6491e54b73194,1286499,1,0.0212,27284,Athlete,https://www.instagram.com/d.raya1
jmglitxh27,instagram,Jamal Murray,https://cdn.horizm.com/clubs/5965_650be27d1d203,1281624,2,0.0118,15178,Athlete,https://www.instagram.com/jmglitxh27/
lindor12bc,instagram,Francisco Lindor,https://cdn.horizm.com/clubs/5324_64d614235d925,1278998,5,0.0233,29797,Athlete,https://www.instagram.com/lindor12bc/
liaml4893,instagram,Liam Livingstone,https://cdn.horizm.com/clubs/1565_6491d35f82198,1276969,2,0.0042,5355,Athlete,https://www.instagram.com/liaml4893/
deco_official,instagram,Deco,https://cdn.horizm.com/clubs/3840_64920ddf93590,1272629,10,0.0123,15650,Athlete,https://www.instagram.com/deco_official/
iamdanilopereira,instagram,Danilo,https://cdn.horizm.com/clubs/2352_6491e6fb04976,1269331,1,0.0068,8673,Athlete,https://www.instagram.com/iamdanilopereira/
leahwilliamsonn,instagram,Leah Williamson,https://cdn.horizm.com/clubs/3093_6491fadfca8a3,1266985,4,0.0449,56893,Athlete,https://www.instagram.com/leahwilliamsonn/
drummond,instagram,Andre Drummond,https://cdn.horizm.com/clubs/3720_64920ad3a8440,1263608,9,0.0055,6909,Athlete,https://www.instagram.com/drummond
kelseyplum10,instagram,Kelsey Plum,https://cdn.horizm.com/clubs/7967_6638a91ab419d,1259118,2,0.0088,11083,Athlete,https://www.instagram.com/kelseyplum10/
viktoraxelsen,instagram,Viktor Axelsen,https://cdn.horizm.com/clubs/8677_66ec302431de2,1253080,11,0.0150,18832,Athlete,https://www.instagram.com/viktoraxelsen/
locamanuel73,instagram,Manuel Locatelli,https://cdn.horizm.com/clubs/4915_64baaebab0f25,1251079,4,0.0242,30262,Athlete,https://www.instagram.com/locamanuel73/
benshelton,instagram,Ben Shelton,https://cdn.horizm.com/clubs/2098_6491e03ac1933,1249755,9,0.1360,169945,Athlete,https://www.instagram.com/benshelton/
riyanhparag,instagram,Riyan Parag,https://cdn.horizm.com/clubs/8086_664dcd8a3810b,1236789,3,0.0221,27332,Athlete,https://www.instagram.com/riyanhparag/
rahmanullahgurbaz31,tiktok,Rahmanullah Gurbaz,https://cdn.horizm.com/clubs/9035_6853ebbe94e82,1236309,2,0.0648,80090,Athlete,https://www.tiktok.com/@rahmanullahgurbaz31
jennihermoso,instagram,Jenni Hermoso,https://cdn.horizm.com/clubs/5146_64f6e8409f10d,1233244,2,0.0009,1143,Athlete,https://www.instagram.com/jennihermoso/
boniface_jrn,instagram,Victor Boniface,https://cdn.horizm.com/clubs/7324_65b0ae136a1b3,1229289,2,0.0062,7579,Athlete,https://www.instagram.com/boniface_jrn/
jewellloyd,instagram,Jewell Loyd,https://cdn.horizm.com/clubs/7954_6638a8c111227,1228531,7,0.0047,5750,Athlete,https://www.instagram.com/jewellloyd/
dustinjohnsongolf,instagram,Dustin Johnson,https://cdn.horizm.com/clubs/4953_64baaf1b1d3b5,1226904,4,0.0299,36698,Athlete,https://www.instagram.com/dustinjohnsongolf/
theanthonyedwards_,tiktok,Anthony Edwards,https://cdn.horizm.com/clubs/3718_64920ac2708f9,1223465,9,0.0700,85698,Athlete,https://www.tiktok.com/@theanthonyedwards_
fkerley99,instagram,Fred Kerley,https://cdn.horizm.com/clubs/2995_6491f87c7c672,1219099,22,0.0240,29201,Athlete,https://www.instagram.com/fkerley99/
maryearps,tiktok,Mary Earps,https://cdn.horizm.com/clubs/832feb74c37fd1e8d3f6f3b31689837110b60a98.jpg,1215430,9,0.0043,5216,Athlete,https://www.tiktok.com/@maryearps
paulscholesaaa,instagram,Paul Scholes,https://cdn.horizm.com/clubs/2380_64a276bee6346,1212922,63,0.0000,0,Athlete,https://www.instagram.com/paulscholesaaa/
nellykorda,instagram,Nelly Korda,https://cdn.horizm.com/clubs/3050_6491fa020e667,1212006,4,0.0575,69704,Athlete,https://www.instagram.com/nellykorda/
hannibal.mj,instagram,Hannibal Mejbri,https://cdn.horizm.com/clubs/6669_65312e8332650,1211932,7,0.0607,73586,Athlete,https://www.instagram.com/hannibal.mj/
luisfabianooficial,instagram,Luis Fabiano,https://cdn.horizm.com/clubs/3833_64920dac1fa11,1210608,5,0.0028,3365,Athlete,https://www.instagram.com/luisfabianooficial/
salorondon23,instagram,Salomón Rondón,https://cdn.horizm.com/clubs/2848_6491f43ea598f,1207041,10,0.0122,14769,Athlete,https://www.instagram.com/salorondon23/
rachinravindra,instagram,Rachin Ravindra,https://cdn.horizm.com/clubs/6289_6531367bbeccc,1198788,1,0.0012,1462,Athlete,https://www.instagram.com/rachinravindra/
tomasrincon8,instagram,Tomás Rincón,https://cdn.horizm.com/clubs/2852_6491f45777934,1196127,4,0.0036,4247,Athlete,https://www.instagram.com/tomasrincon8/
upamecano,instagram,Dayot Upamecano,https://cdn.horizm.com/clubs/4796_64baad3cc9dba,1194454,4,0.0118,14070,Athlete,https://www.instagram.com/upamecano/
mstarc56,instagram,Mitchell Starc,https://cdn.horizm.com/clubs/89574872d9f7c7cb787b3beb55050cbfb9c7c4cd.jpg,1193927,1,0.0052,6161,Athlete,https://www.instagram.com/mstarc56/
ronnie,instagram,Ronnie O'Sullivan,https://cdn.horizm.com/clubs/5934_650be240682fa,1192816,6,0.0176,20994,Athlete,https://www.instagram.com/ronnie/
nikkigarcia,tiktok,Nikki Garcia,https://cdn.horizm.com/clubs/4135_649bd521467aa,1192063,1,0.0039,4699,Athlete,https://www.tiktok.com/@nikkigarcia
josefmartinez17,instagram,Josef Martinez,https://cdn.horizm.com/clubs/2849_6491f4471f5a3,1187844,2,0.0038,4523,Athlete,https://www.instagram.com/josefmartinez17/
remco.ev,instagram,Remco Evenepoel,https://cdn.horizm.com/clubs/5158_64d61122dbf6b,1187241,9,0.0916,108753,Athlete,https://www.instagram.com/remco.ev/
andreysantos_5,instagram,Andrey Santos,https://cdn.horizm.com/clubs/8936_67ffb8be7a2e9,1186221,4,0.0081,9575,Athlete,https://www.instagram.com/andreysantos_5/
rico.lewis,instagram,Rico Lewis,https://cdn.horizm.com/clubs/34594c4f41f760126450f40f2306ed97e7cf9d48.jpg,1186196,1,0.0099,11698,Athlete,https://www.instagram.com/rico.lewis/
3jmccollum,instagram,C.J. McCollum,https://cdn.horizm.com/clubs/3719_64920acb08020,1181481,14,0.0540,63814,Athlete,https://www.instagram.com/3jmccollum/
mattiaperin,instagram,Mattia Perin,https://cdn.horizm.com/clubs/6569_65312b5a01182,1177526,2,0.0027,3216,Athlete,https://www.instagram.com/mattiaperin/
wzairemery6,instagram,Warren Zaïre-Emery,https://cdn.horizm.com/clubs/6301_65313684ab28e,1172926,6,0.0134,15749,Athlete,https://www.instagram.com/wzairemery6/
conorgallagher92,instagram,Conor Gallagher,https://cdn.horizm.com/clubs/2265_64a276a700648,1172331,5,0.0865,101369,Athlete,https://www.instagram.com/conorgallagher92/
jordynhuitemaa,tiktok,Jordyn Huitema,https://cdn.horizm.com/clubs/1902_6491dad36e703,1170687,1,0.0030,3474,Athlete,https://www.tiktok.com/@jordynhuitemaa
aaronfinch5,instagram,Aaron Finch,https://cdn.horizm.com/clubs/1561_6491d34d48c3f,1162841,7,0.0154,17931,Athlete,https://www.instagram.com/aaronfinch5/
darvishsefat11,instagram,Yu Darvish,https://cdn.horizm.com/clubs/3733_64920b43a2aec,1162608,2,0.0094,10983,Athlete,https://www.instagram.com/darvishsefat11/
chloekim,instagram,Chloe Kim,https://cdn.horizm.com/clubs/4149_649bd5911ac74,1155600,7,0.0701,80986,Athlete,https://www.instagram.com/chloekim/
ismaila_sarr_18,instagram,Ismaïla Sarr,https://cdn.horizm.com/clubs/6366_653125b0e6010,1154038,4,0.0220,25382,Athlete,https://www.instagram.com/ismaila_sarr_18
nicolofagioli,instagram,Nicolo Fagioli,https://cdn.horizm.com/clubs/4931_64baaee33ab56,1153579,4,0.0095,10947,Athlete,https://www.instagram.com/nicolofagioli/
otaviomonteiroo,instagram,Otavio,https://cdn.horizm.com/clubs/2355_6491e713e58b5,1151429,3,0.0020,2349,Athlete,https://www.instagram.com/otaviomonteiroo
sydneyleroux,instagram,Sydney Rae Leroux,https://cdn.horizm.com/clubs/4238_649bd8053b9f9,1149667,5,0.0191,21971,Athlete,https://www.instagram.com/sydneyleroux/
tatiwest,instagram,Tatiana Weston Webb,https://cdn.horizm.com/clubs/4824_64baada523671,1146246,3,0.0058,6675,Athlete,https://www.instagram.com/tatiwest
callumwilson,instagram,Callum Wilson,https://cdn.horizm.com/clubs/2249_6491e445b4d24,1142693,3,0.0140,15949,Athlete,https://www.instagram.com/callumwilson/
_thecubanmissile54,instagram,Aroldis Chapman,https://cdn.horizm.com/clubs/6835_6565a9aa35721,1130490,1,0.0032,3582,Athlete,https://www.instagram.com/_thecubanmissile54/
j0rdanclarks0n,tiktok,Jordan Clarkson,https://cdn.horizm.com/clubs/3707_64920a64b13d9,1127527,1,0.0005,557,Athlete,https://www.tiktok.com/@j0rdanclarks0n
ddumfries2,instagram,Denzel Dumfries,https://cdn.horizm.com/clubs/4916_64baaebcb19b0,1126858,2,0.0212,23910,Athlete,https://www.instagram.com/ddumfries2/
nitishrana_official,instagram,Nitish Rana,https://cdn.horizm.com/clubs/9086_6853ec824780d,1126363,1,0.0125,14035,Athlete,https://www.instagram.com/nitishrana_official/
doanvanhau_1904,instagram,Van Hau DOAN,https://cdn.horizm.com/clubs/3800_64a2782eb5f80,1121636,6,0.0217,24374,Athlete,https://www.instagram.com/doanvanhau_1904/
tjwatt90,instagram,T.J. Watt,https://cdn.horizm.com/clubs/3768_64920c55a295a,1119869,1,0.0034,3822,Athlete,https://www.instagram.com/tjwatt90/
adam.ondra,instagram,Adam Ondra,,1118567,12,0.0197,22027,Athlete,https://www.instagram.com/adam.ondra/
caoimhinkelleher98,instagram,Caoimhin Kelleher,https://cdn.horizm.com/clubs/2783_64a2772cb5a4f,1114757,1,0.0166,18501,Athlete,https://www.instagram.com/caoimhinkelleher98/
liekemartens,instagram,Lieke Martens,https://cdn.horizm.com/clubs/1907_6491daf433042,1114572,1,0.0013,1429,Athlete,https://www.instagram.com/liekemartens/
zeroberto,tiktok,Zé Roberto,https://cdn.horizm.com/clubs/3854_64920e1b37940,1113685,5,0.0005,537,Athlete,https://www.tiktok.com/@zeroberto
sirmofarah,tiktok,Mo Farah,https://cdn.horizm.com/clubs/4756_64baacaf27229,1109752,4,0.0032,3522,Athlete,https://www.tiktok.com/@sirmofarah
j4juanoficial,instagram,Juan,https://cdn.horizm.com/clubs/3844_64a275a86e5a8,1107320,1,0.0002,240,Athlete,https://www.instagram.com/j4juanoficial/
julianbrandt,instagram,Julian Brandt,https://cdn.horizm.com/clubs/4787_64baad0657e5b,1106295,1,0.0026,2841,Athlete,https://www.instagram.com/julianbrandt/
timdavid8,instagram,Tim David,https://cdn.horizm.com/clubs/2975_6491f7d119de3,1105474,1,0.0018,1951,Athlete,https://www.instagram.com/timdavid8/
candaceparker,instagram,Candace Parker,https://cdn.horizm.com/clubs/4144_649bd5662ae62,1104014,6,0.0823,90904,Athlete,https://www.instagram.com/candaceparker/
sakinakarchaoui,instagram,Sakina Karchaoui,https://cdn.horizm.com/clubs/4234_649bd7e404edf,1103370,2,0.0113,12488,Athlete,https://www.instagram.com/sakinakarchaoui/
benfcyclinggk,tiktok,Ben Foster,https://cdn.horizm.com/clubs/4774_64baace4dfee6,1095482,30,0.1132,124042,Athlete,https://www.tiktok.com/@benfcyclinggk
dancarter_,instagram,Dan Carter,https://cdn.horizm.com/clubs/4206_649bd7311c71e,1093087,4,0.0328,35895,Athlete,https://www.instagram.com/dancarter_
saddilramdanii,instagram,Saddil RAMDANI,https://cdn.horizm.com/clubs/3808_64a2784892c2a,1087837,2,0.0193,21008,Athlete,https://www.instagram.com/saddilramdanii/
crazylongjumper,instagram,Lamont Marcell Jacobs,https://cdn.horizm.com/clubs/3005_6491f8bfb3faa,1084153,2,0.0068,7330,Athlete,https://www.instagram.com/crazylongjumper
bam1of1,instagram,Bam Adebayo,https://cdn.horizm.com/clubs/5968_650be284776de,1081757,1,0.0063,6867,Athlete,https://www.instagram.com/bam1of1/
salvadorp13,instagram,Salvador Perez,https://cdn.horizm.com/clubs/5846_650be199b1c13,1078261,2,0.0352,37990,Athlete,https://www.instagram.com/salvadorp13/
oficialthneves10,instagram,Thiago Neves,https://cdn.horizm.com/clubs/3843_64920de801a25,1077354,1,0.0045,4880,Athlete,https://www.instagram.com/oficialthneves10/
senlakshya,instagram,Lakshya Sen,https://cdn.horizm.com/clubs/3035_6491f99450464,1076770,7,0.0096,10377,Athlete,https://www.instagram.com/senlakshya/
leivalucas,instagram,Lucas Leiva,https://cdn.horizm.com/clubs/3858_64920e34b48a4,1076217,5,0.0107,11490,Athlete,https://www.instagram.com/leivalucas/
dhruvjurel,instagram,Dhruv Jurel,https://cdn.horizm.com/clubs/7682_65faeca2b0ea9,1072315,2,0.0039,4200,Athlete,https://www.instagram.com/dhruvjurel/
joaopalhinha6,instagram,Joao Palhinha,https://cdn.horizm.com/clubs/25f93aee6cae495505f317aed22594bfd5907653.jpg,1071509,3,0.0103,11022,Athlete,https://www.instagram.com/joaopalhinha6/
jdoku11,tiktok,Jeremy Doku,https://cdn.horizm.com/clubs/1850_6491d9a101f87,1070567,2,0.0056,6019,Athlete,https://www.tiktok.com/@jdoku11
streetpanna,instagram,Jack Downer,https://cdn.horizm.com/clubs/3650_649209ca85cac,1069590,16,0.2554,273148,Athlete,https://www.instagram.com/streetpanna
olliewatkins,instagram,Ollie Watkins,https://cdn.horizm.com/clubs/2307_64a276b040e60,1066252,4,0.0207,22046,Athlete,https://www.instagram.com/olliewatkins
jimmya9,instagram,James Anderson,https://cdn.horizm.com/clubs/2989_6491f84856582,1065275,1,0.0010,1036,Athlete,https://www.instagram.com/jimmya9/
diogomcosta99,instagram,Diogo Costa,https://cdn.horizm.com/clubs/2219_6491e38297c9f,1061753,10,0.0354,37635,Athlete,https://www.instagram.com/diogomcosta99/
cocogauff,tiktok,Coco Gauff,https://cdn.horizm.com/clubs/1317_6491cc847a22d,1057093,5,0.0392,41478,Athlete,https://www.tiktok.com/@cocogauff
manulanzini,instagram,Manuel Lanzini,https://cdn.horizm.com/clubs/6228_650be4ccd6ebb,1054732,5,0.0046,4864,Athlete,https://www.instagram.com/manulanzini/
germancano14,instagram,German Cano,https://cdn.horizm.com/clubs/6016_650be2e10f6f5,1054089,4,0.0252,26533,Athlete,https://www.instagram.com/germancano14/
matt_barnes9,instagram,Matt Barnes,https://cdn.horizm.com/clubs/6468_653128b17afe2,1052662,4,0.0277,29193,Athlete,https://www.instagram.com/matt_barnes9/
subbanator,instagram,P.K. Subban,https://cdn.horizm.com/clubs/3743_64920b8843ada,1049933,26,0.1881,197499,Athlete,https://www.instagram.com/subbanator/
rjbarrett,instagram,R.J. Barrett,https://cdn.horizm.com/clubs/5981_650be29f5b36a,1048820,2,0.0075,7865,Athlete,https://www.instagram.com/rjbarrett/
malogusto,instagram,Malo Gusto,https://cdn.horizm.com/clubs/7359_65b0aed8531f4,1048139,5,0.0445,46600,Athlete,https://www.instagram.com/malogusto
travishead34,instagram,Travis Head,https://cdn.horizm.com/clubs/6244_65313653a7cc2,1046263,6,0.1088,113872,Athlete,https://www.instagram.com/travishead34/
grimaldo35,instagram,Alex Grimaldo,https://cdn.horizm.com/clubs/7327_65b0ae1eea00b,1041776,4,0.0091,9438,Athlete,https://www.instagram.com/grimaldo35/
radiocraqueneto,tiktok,Jose Ferreira Neto,https://cdn.horizm.com/clubs/3406_64920398a6736,1041773,193,0.0146,15175,Athlete,https://www.tiktok.com/@radiocraqueneto
r.aitnouri,instagram,Rayan Ait-Nouri,,1040939,2,0.0167,17364,Athlete,https://www.instagram.com/r.aitnouri/
joemarler17,instagram,Joe Marler,https://cdn.horizm.com/clubs/5048_64bab012efa78,1038617,25,0.5312,551695,Athlete,https://www.instagram.com/joemarler17/
gerorulli,instagram,Geronimo Rulli,https://cdn.horizm.com/clubs/1846_6491d97e37f23,1038201,5,0.0066,6811,Athlete,https://www.instagram.com/gerorulli/
carlilloyd,instagram,Carli Loyd,https://cdn.horizm.com/clubs/1906_6491daeb8e76d,1037226,3,0.0079,8223,Athlete,https://www.instagram.com/carlilloyd/
josemariagimenez,instagram,Jose Gimenez,https://cdn.horizm.com/clubs/2398_6491e81a2ba2f,1035353,5,0.0078,8034,Athlete,https://www.instagram.com/josemariagimenez/
jalenbrunson1,instagram,Jalen Brunson,https://cdn.horizm.com/clubs/5974_650be29195dc7,1031669,2,0.0179,18436,Athlete,https://www.instagram.com/jalenbrunson1/
holgerrune,instagram,Holger Rune,https://cdn.horizm.com/clubs/5063_64bab03d15601,1022830,8,0.0803,82107,Athlete,https://www.instagram.com/holgerrune/
sofyanamrabat,tiktok,Sofyan Amrabat,https://cdn.horizm.com/clubs/d224c48b52399d351063aa5fe5a29c5692f2fff5.jpg,1013188,1,0.0008,842,Athlete,https://www.tiktok.com/@sofyanamrabat
kelvinhoefler,instagram,Kelvin Hofler,https://cdn.horizm.com/clubs/3382_649202d279ce0,1013040,2,0.0035,3545,Athlete,https://www.instagram.com/kelvinhoefler/
willjacks9,instagram,Will Jacks,https://cdn.horizm.com/clubs/8090_664dcdae2d801,1011395,3,0.0639,64638,Athlete,https://www.instagram.com/willjacks9/
corentintolisso,instagram,Corentin Tolisso,https://cdn.horizm.com/clubs/6342_65312509c8259,1010402,7,0.0125,12631,Athlete,https://www.instagram.com/corentintolisso/
crisrozeira,instagram,Cristiane Rozeira,https://cdn.horizm.com/clubs/1905_64a27687a6dc5,1006535,10,0.0081,8117,Athlete,https://www.instagram.com/crisrozeira/
juliusrandle30,instagram,Julius Randle,https://cdn.horizm.com/clubs/5975_650be293d38fe,1006500,1,0.0040,3987,Athlete,https://www.instagram.com/juliusrandle30/
deanhenderson,instagram,Dean Henderson,https://cdn.horizm.com/clubs/2239_6491e409d9e9e,1004878,2,0.0006,599,Athlete,https://www.instagram.com/deanhenderson/
cueva10oficial,instagram,Christian Cueva,https://cdn.horizm.com/clubs/2832_6491f3c03cde5,1002308,2,0.0018,1844,Athlete,https://www.instagram.com/cueva10oficial/
lukethenukelittler,tiktok,Luke Littler,https://cdn.horizm.com/clubs/7364_65b0af1069553,1001808,17,0.2588,259313,Athlete,https://www.tiktok.com/@lukethenukelittler
