Handle,Social Network,Profile Name,Avatar URL,Followers,Posts,Value Per Fan,Total Value € Jan 2026,Category,URL
kunaguero,instagram,Sergio Aguero,https://cdn.horizm.com/clubs/3388_649202fce20bd,28453549,4,0.0015,42917,Athlete,https://www.instagram.com/kunaguero/
jeremylynch,tiktok,Jeremy Lynch,https://cdn.horizm.com/clubs/c256bc6c86912b990a168f12fd76fe1b513e5f6b.jpg,27709869,20,0.0051,140815,Athlete,https://www.tiktok.com/@jeremylynch
m10_official,instagram,Mesut Özil,https://cdn.horizm.com/clubs/3091_64b6266cd5c04,27556218,8,0.0088,241543,Athlete,https://www.instagram.com/m10_official/
sureshraina3,instagram,Suresh Raina,https://cdn.horizm.com/clubs/5174_64d611b6a93e0,27209211,15,0.0080,218574,Athlete,https://www.instagram.com/sureshraina3
hazardeden_10,instagram,Eden Hazard,https://cdn.horizm.com/clubs/7b0d1fa0de208b8c4b4091594dd4b35f4df0b2a9.jpg,27058104,1,0.0003,9340,Athlete,https://www.instagram.com/hazardeden_10/
kevindebruyne,instagram,Kevin De Bruyne,https://cdn.horizm.com/clubs/1578_6491d3b569a38,26659007,5,0.0023,60233,Athlete,https://www.instagram.com/kevindebruyne/
angeldimariajm,instagram,Angel Di Maria,https://cdn.horizm.com/clubs/c86fdb0603f95f5f81e9bf799743d5bb76541c23.jpg,26613437,8,0.0071,189238,Athlete,https://www.instagram.com/angeldimariajm/
kaka,instagram,Kaka,https://cdn.horizm.com/clubs/1390_6491ceae718cb,26187307,3,0.0027,69810,Athlete,https://www.instagram.com/kaka/
klrahul,instagram,KL Rahul,https://cdn.horizm.com/clubs/71a62434f0aa17e33ef1707d788705586067bfd4.jpg,24012114,5,0.0274,657473,Athlete,https://www.instagram.com/klrahul/
davidluiz23,instagram,David Luiz,https://cdn.horizm.com/clubs/2802_6491f2d9370cb,23341448,6,0.0017,40686,Athlete,https://www.instagram.com/davidluiz23/
phil.coutinho,instagram,Phillipe Coutinho,https://cdn.horizm.com/clubs/2311_6491e5d416dc1,23133181,1,0.0019,44075,Athlete,https://www.instagram.com/phil.coutinho
rodrygogoes,instagram,Rodrygo,https://cdn.horizm.com/clubs/2345_64b6278eca899,23040149,4,0.0113,261024,Athlete,https://www.instagram.com/rodrygogoes/
achrafhakimi,instagram,Achraf Hakimi,https://cdn.horizm.com/clubs/1870_6491d9fdd69cf,22794405,4,0.0324,739563,Athlete,https://www.instagram.com/achrafhakimi/
charles_leclerc,instagram,Charles Leclerc,https://cdn.horizm.com/clubs/1282_6491cb5ba89a4,22608155,6,0.0392,885529,Athlete,https://www.instagram.com/charles_leclerc
russwest44,instagram,Russell Westbrook,https://cdn.horizm.com/clubs/3116_6491fb6dc1f63,22501880,5,0.0055,124045,Athlete,https://www.instagram.com/russwest44/
casemiro,instagram,Casemiro,https://cdn.horizm.com/clubs/1388_6491cea693acf,22490924,7,0.0230,516311,Athlete,https://www.instagram.com/casemiro/
raphaelvarane,instagram,Raphael Varane,https://cdn.horizm.com/clubs/2268_6491e4bb0ef0f,22301783,1,0.0007,16110,Athlete,https://www.instagram.com/raphaelvarane/
alvaromorata,instagram,Alvaro Morata,https://cdn.horizm.com/clubs/2330_6491e6642cd74,22286004,8,0.0105,233756,Athlete,https://www.instagram.com/alvaromorata/
lucasvazquez91,instagram,Lucas Vazquez,https://cdn.horizm.com/clubs/2393_64b627422cca9,22229820,5,0.0020,43800,Athlete,https://www.instagram.com/lucasvazquez91/
jaspritb1,instagram,Jasprit Bumrah,https://cdn.horizm.com/clubs/2977_6491f7e23fbe0,22183316,8,0.0193,428533,Athlete,https://www.instagram.com/jaspritb1/
marcusrashford,instagram,Marcus Rashford,https://cdn.horizm.com/clubs/1770_6491d60ac4cb6,22083212,8,0.0351,775708,Athlete,https://www.instagram.com/marcusrashford/
dejesusoficial,instagram,Gabriel Jesus,https://cdn.horizm.com/clubs/1762_6491d5c8b29c4,22059077,5,0.0076,167647,Athlete,https://www.instagram.com/dejesusoficial/
johncena,instagram,John Cena,https://cdn.horizm.com/clubs/6773_6565b8d81a1b1,21817255,31,0.0171,372485,Athlete,https://www.instagram.com/johncena
3gerardpique,instagram,Gerard Piqué,https://cdn.horizm.com/clubs/6795_6565b8f7d0f2d,21748481,1,0.0003,6882,Athlete,https://www.instagram.com/3gerardpique
